Role,Name,Email,Password
Teacher,Dr. Miller,miller@school.edu,password123
Student,Mary Johnson,mary.johnson1@school.edu,password123
Student,Robert Williams,robert.williams2@school.edu,password123
Student,Patricia Brown,patricia.brown3@school.edu,password123
Student,John Jones,john.jones4@school.edu,password123
Student,Jennifer Garcia,jennifer.garcia5@school.edu,password123
Student,Michael Miller,michael.miller6@school.edu,password123
Student,Linda Davis,linda.davis7@school.edu,password123
Student,David Rodriguez,david.rodriguez8@school.edu,password123
Student,Elizabeth Martinez,elizabeth.martinez9@school.edu,password123
Student,William Hernandez,william.hernandez10@school.edu,password123
